abruptly,"adv.突然地"
rude,"adj.粗鲁的,不礼貌的;粗糙的,粗陋的"
symptom,"n.症状;征候,征兆"
pillar,"n.柱,柱子;栋梁"
thereby,"adv.因此,从而,由此"
unique,"adj.唯一的,独一无二的;极不寻常的,极好的"
funeral,"n.葬礼,丧礼,丧葬"
boost,"vt.提高,使增长;推动,激励;替…做广告,宣扬;n.提高,增长;推动,激励"
fireman,"n.消防队员;司炉工"
sincere,"adj.真诚的,诚挚的"
male,"adj.男的,雄的;n.男子,雄性动物"
ministry,"n.部"
religious,"adj.宗教的;笃信宗教的,虔诚的"
nevertheless,"adv.仍然,然而"
prominent,"adj.突出的,杰出的;突起的,凸出的"
shelter,"n.掩蔽处,躲避处;住所;掩蔽,保护;vt.掩蔽,庇护;躲避"
outset,"n.开始,开端"
jewel,"n.宝石;宝石饰物"
scan,"vt.细看,审视;扫描,浏览;n.扫描"
association,"n.协会,团体;联合,交往"
fundamental,"adj.基础的,基本的;n.基本原则"
eliminate,"vt.消灭,消除,排除;淘汰"
global,"adj.全球的,全世界的;总的,完整的"
entitle,"vt.给…权利;给题名"
outline,"n.提纲,要点;外形,略图;vt.概述;描…外形"
fade,"vi.褪色;逐渐消失;凋谢;vt.使褪色"
unless,"conj.除非,如果不"
butterfly,"n.蝴蝶"
excess,"adj.过量的,额外的;n.超越;过量,过度"
glance,"vi.看一下;n.一瞥;vt.用扫视;反射"
perspective,"n.视角,观点;远景,景观;透视画法,透视图"
relationship,"n.关系,关联"
equality,"n.等同,平等,相等"
destruction,"n.破坏,毁灭,消灭"
dictation,"n.口授;听写"
stiff,"adv.极其,非常;僵硬地;adj.硬的,僵直的;不灵活的;拘谨的,生硬的;费劲的;强烈的"
expression,"n.词语;表达;表情"
invade,"vt.入侵,侵略,侵袭"
reaction,"n.反应;反作用"
childhood,"n.童年,幼年,早期"
wolf,"n.狼"
accordance,"n.一致;和谐"
thorough,"adj.彻底的,详尽的"
appeal,"vi.呼吁,恳求;申诉,上诉;vt.上诉;n.感染力,吸引力;呼吁,上诉"
democracy,"n.民主,民主制;民主国家"
transportation,"n.运输,运送,客运"
dye,"vt.染;n.染料;染色"
evolve,"vt.使进化,使发展"
extensive,"adj.广阔的,广泛的"
congratulation,"n.贺词;祝贺,恭喜"
abandon,"vt.离弃,丢弃;遗弃,抛弃;放弃;n.放任;纵情"
definitely,"adv.一定地,明确地"
inspire,"vi.吸气;赋予灵感;vt.鼓舞,给…以灵感"
marvelous,"adj.奇迹般的,了不起的"
household,"adj.家庭的;家喻户晓的;n.家庭,户;家务"
geometry,"n.几何,几何学"
ratio,"n.比,比率"
devote,"vt.将…奉献给;把…专用"
agent,"n.代理人,代理商;政府代表;动因,原因;剂"
wool,"n.羊毛;毛线,绒线"
wholly,"adv.完全地,全部地"
instinct,"n.本能,天性;直觉"
approximate,"adj.近似的;vt.近似;估计"
invest,"v.投资,投入;授予"
afterward,"adv.后来,以后"
reputation,"n.名誉,名气,名声"
project,"v.伸出;投射;预计;n.方案,计划;课题,项目;工程"
shrug,"n&v.耸肩"
independence,"n.独立,自主,自立"
coordination,"n.同等;调和"
presentation,"n.提供,显示;外观,图像;授予,赠送;报告,介绍;表演"
diameter,"n.直径"
barn,"n.谷仓;牲口棚"
bark,"vi.吠,叫;n.吠声,叫声;树皮"
loop,"v.成环,成圈;n.圈,环,回路;循环"
restrain,"vt.阻止,控制;抑制,遏制"
greedy,"adj.贪吃的;贪婪的;渴望的"
awkward,"adj.笨拙的,尴尬的;难操纵的,使用不便的;不灵巧的"
bare,"adj.赤裸的;光秃的,无遮盖的;刚刚够的,勉强的;vt.露出,显露"
ruin,"v.毁坏;n.毁灭;废墟"
crane,"n.起重机,摄影升降机;鹤"
beard,"n.胡须,络腮胡子"
impatient,"adj.不耐烦的,急躁的"
spill,"v.溢出,洒落;n.溢出"
owing,"adj.应付的,未付的"
collection,"n.搜集,聚集,积聚;收集,收取;收藏品,收集的东西"
gardener,"n.园丁,花匠"
conquest,"n.攻取,征服,克服"
finding,"n.发现;调查的结果;裁决"
dense,"adj.密集的,浓厚的;密度大的"
fortnight,"n.两星期,十四天"
laboratory,"n.实验室,研究室"
inspect,"vi.进行检查;进行视察;vt.检查,审查;检阅"
campaign,"vi.参加运动;参加竞选;n.战役;运动"
systematical,"adj.有系统的,有计划的"
vital,"adj.致命的,生死攸关的;极其重要的;生命的,有生命力的"
conflict,"vi.冲突,抵触;n.冲突,抵触,争论;战斗,战争"
farewell,"n.告别,欢送会"
allow,"vt.允许,准许;同意给;承认;允许…进入"
appliance,"n.用具,器具,器械;家电"
mass,"adj.大量的,大规模的;v.聚集,集中;n.众多,大量;团,块,堆;群众;质量"
lord,"n.领主,君主,贵族"
detect,"vt.察觉,发觉;侦查出"
amateur,"adj.业余爱好的,业余的;外行的;n.业余爱好者;外行"
poisonous,"adj.有毒的;恶毒的"
condemn,"vt.谴责,指责;判…刑,宣告…有罪"
beast,"n.兽,野兽,牲畜;凶残的人,令人厌憎的人"
assistance,"n.协助,援助"
commerce,"n.商业,贸易;社交"
gesture,"v.做手势;n.姿势,手势,姿态"
admit,"vt.承认,供认;准许…进入"
poem,"n.诗"
interest,"n.兴趣;利益,利害关系;利息;vt.使感兴趣"
gulf,"n.海湾;巨大的分歧"
poet,"n.诗人"
definition,"n.定义,释义,定界;清晰,鲜明"
shave,"v.剃,刮,刨,削;修面,刮脸;n.修面,刮脸"
organic,"adj.有机体的,有机物的"
mask,"n.面具,面罩,口罩;伪装;vt.遮盖,掩饰"
summary,"adj.概括的,概要的;实时的,即决的;n.摘要,概要,一览"
apply,"vi.适用;申请,请求;涂,敷,施;vt.应用,实施;使用;涂敷;把…施于"
inferior,"adj.下等的,劣等的;次于…的;n.下级,下属"
steamer,"n.轮船,汽船"
recently,"adv.最近,新近"
overlook,"vt.忽视;宽恕;俯瞰"
politician,"n.政治家,政客"
incredible,"adj.不能相信的,不可信的;难以置信的,不可思议的;惊人的"
dramatic,"adj.引人注目的,激动人心的;突然的"
mosquito,"n.蚊子"
guitar,"n.吉他,六弦琴"
layout,"n.布局,安排,设计"
artificial,"adj.人工的,人为的;矫揉造作的;模拟的"
imaginary,"adj.想象中的,假想的"
removal,"n.除去,消除;移动,搬迁"
formula,"n.公式,方程式;原则,方案;配方"
comment,"vi.评论;n.评论,意见,注释;闲话,议论"
revolt,"v.反叛,起义;反抗,违抗;厌恶,生反感;n.反叛,起义"
disgust,"n&vt.厌恶,憎恶"
stem,"vi.起源;n.茎,干;词干;vt.堵住,止住,停住"
sunshine,"n.日光,阳光"
trend,"vi.伸向;倾向;n.倾向"
achievement,"n.完成;成就,成绩"
mechanic,"n.技工,机修工;力学,机械学;过程,方法,技术性细节"
desirable,"adj.值得向往的,令人满意的"
balcony,"n.阳台;楼厅,楼座"
consist,"vi.由…组成;在于;一致"
preparation,"n.准备,预备;制剂"
reliable,"adj.可靠的,可信赖的"
relate,"vi.有关,涉及;符合;相处;vt.使有关联;讲述,叙述"
critic,"n.批评家,爱挑剔的人"
elevator,"n.电梯,升降机"
grammar,"n.语法;语法书"
enable,"vt.使能够,使可能"
preliminary,"adj.预备的,初步的;n.初步做法,起始行为"
dependent,"adj.依靠的,依赖的;取决于…的"
obstacle,"n.障碍,障碍物,妨碍"
profession,"n.职业;声明,表白"
calculator,"n.计算器,计算者"
van,"n.大篷车,运货车"
biology,"n.生物学,生态学"
worm,"n.虫,蠕虫"
compress,"vt.压紧,压缩"
arise,"vi.出现;由…引起;起身,起床"
collaborative,"adj.合作的,协作的,协力完成的"
cherish,"vt.珍爱;怀有"
constitute,"vt.组成,形成;设立;任命"
cattle,"n.牛;牲口,家畜"
imagination,"n.想象,想象力,空想;想象出"
resistance,"n.反抗,抵制;抵抗力,抵抗性;阻力;电阻"
underneath,"adv.在下面,在底下;prep.在…下面,在…底下;n.下部,底部"
nursery,"n.托儿所,保育室;苗圃"
mate,"v.成为配偶,交配;n.伙伴,同事;配偶,配对物;大副"
convince,"vt.使确信,使信服,说服"
emperor,"n.皇帝"
prolong,"vt.拉长,延长"
theory,"n.理论,原理;学说;意见,看法"
distress,"n.忧虑,痛苦,悲伤;不幸"
flock,"n.羊群,群;大量"
internal,"adj.内的;国内的;内心的"
extension,"n.延长部分,伸展;电话分机,分机号码"
signature,"n.署名,签字,签名"
steep,"adj.险峻的,陡峭的;过高的;急剧的"
thumb,"v.示意要求搭车;n.拇指"
republican,"adj.共和政体的;共和党的;n.共和党人"
literary,"adj.文学的;文人的,书卷气的"
architect,"n.建筑师,设计师;缔造者"
forehead,"n.额头;前部"
classical,"adj.古典的,经典的"
privilege,"n.特权;优惠"
foundation,"n.基础;"
substitute,"n.代替人;代用品;vt.用…代替"
punch,"vt.猛击;穿孔;n.猛击;冲床;穿孔机;力量,效力"
naturally,"adv.当然;天然地;天生地"
flexibility,"n.灵活性,机动性,柔韧性"
mysterious,"adj.神秘的,诡秘的"
moreover,"adv.而且,再者,此外"
identity,"n.身份;个性,特性;同一性,一致性"
scatter,"v.撒,散播;散开,驱散"
installation,"n.安装;装置,设施;就任,就职"
writing,"n.书写,写;著作"
federal,"adj.联邦的,联盟的"
violate,"vt.违反,违背;亵渎;侵犯;妨碍"
verify,"vt.证实,查证,证明"
collective,"adj.集体的,集合性的;n.团体,集体"
excursion,"n.远足,短途旅行"
steer,"v.掌舵,驾驶;操纵"
event,"n.事件,大事,事变"
academy,"n.研究会,学会;专门学校"
undergo,"vt.经历,经受,忍受;接受"
reward,"n.报答,奖赏;报酬,酬金;vt.报答,酬谢,奖励"
include,"vt.包括,包含"
sympathize,"vi.同情,怜悯;体谅;赞同"
alongside,"adv.在旁边,沿着边,并排地;prep.在…旁边,沿着…的边;和…在一起"
swallow,"n.燕子;吞,咽;vt.吞,咽;轻信,轻易接受;承受,使不流露;咽下口水"
agency,"n.经办,代理;代理处;专门行政部门"
coupon,"n.礼券,优惠券,配给券;联票;票证"
railroad,"n.铁路;vt.由铁路运输"
nucleus,"n.核心;核"
fascinating,"adj.迷人的,有极大吸引力的"
abstract,"adj.抽象的,抽象派的;n.摘要,梗概;抽象派艺术作品;vt.做…的摘要;提取"
sting,"v.刺,蜇,叮;n.刺伤处,蜇伤处"
haste,"n.急速,急忙;草率"
agenda,"n.议事日程"
appearance,"n.出现,来到;外观"
liquid,"adj.液体的;清澈的;流畅的;n.液体"
culture,"n.文化,文明;教养;培养;培养菌"
sleeve,"n.袖子,袖套"
devotion,"n.献身,奉献;忠实;热爱;虔诚"
anonymous,"adj.匿名的;无名的;无特色的"
stir,"v.搅动;拨动;激动;唤起;n.搅拌,搅动;激动,骚乱"
fisherman,"n.渔民,渔夫"
span,"n.跨距,一段时间;vt.持续,贯穿;包括;横跨,跨越"
insult,"vt.侮辱,凌辱;n.侮辱,凌辱"
existence,"n.存在,实在,生存"
craft,"n.工艺,手艺;船,航空器"
butcher,"n.肉商,肉贩,屠夫;vt.屠宰,残杀"
poll,"n.民意测验;政治选举,大选;vt.对…进行民意测验;获得"
minority,"n.少数;少数民族"
pole,"n.杆;极,磁极,电极"
float,"v.浮动,漂浮;飘动"
graceful,"adj.优美的,优雅的;得体的"
fourfold,"adv.四倍,四重;adj.四倍的,四重的"
preferable,"adj.更可取的,更好的,更合意的"
reference,"n.提到,论及;参考;引文;参考书目;证明书,证明人"
frog,"n.蛙"
spite,"n.恶意,怨恨;vt.刁难,欺侮"
chamber,"n.会议室,会所;房间;腔,室"
arrange,"v.安排,准备,整理"
coarse,"adj.粗的,粗糙的;粗劣的;粗俗的"
nephew,"n.侄子,外甥"
publicity,"n.公众的注意,名声;宣传,宣扬"
depart,"vi.离开,起程,出发"
exaggerate,"v.夸大,夸张"
imply,"vt.暗示,意指"
capture,"vt.捕获,俘获;夺得"
commitment,"n.承诺,许诺,保证;信奉,献身;承担的义务"
spade,"n.铲,铁锹"
manufacture,"vt.制造,加工;n.制造,制造业"
sequence,"n.连续,接续,一连串;次序,顺序"
collision,"n.碰撞;冲突,抵触"
qualification,"n.资格,资格证明,合格证书;限制,限定"
provision,"n.供应;准备;条款,规定;给养,口粮"
recruit,"vt.招募,吸收;n.新兵;新成员"
thrust,"vt.插;戳,刺;n.戳,刺;要点,要旨;推力"
fame,"n.名声,名望"
replacement,"n.代替,取代;更换,调换;替代的人"
mud,"n.泥,泥浆"
mug,"n.大杯;vt.对…行凶抢劫"
pond,"n.池塘"
arrival,"n.到达,到来;到达者,到达物"
scientific,"adj.科学的"
frequent,"adj.时常发生的,常见的;v.常到,常去"
according,"adj.相等的,一致的,依…而定的"
insure,"vt.为…投保;确保"
powder,"n.粉,粉末"
membership,"n.会员身份,会籍;全体会员,会员数"
error,"n.错误,谬误,差错"
platform,"n.平台,站台,讲台;纲领,宣言"
network,"n.网状物;广播网,电视网;网络"
jealous,"adj.妒忌的,猜疑的;精心守护的"
rust,"v.生锈,氧化;n.铁锈"
trace,"n.痕迹;丝毫,少许;vt.跟踪;追溯;描摹"
Negro,"n.黑人"
modernization,"n.现代化"
grave,"adj.严重的;严肃的;n.坟墓"
criminology,"n.犯罪学,刑事学"
advantage,"n.优点,优势,好处"
assistant,"adj.助理的,辅助的;n.助手,助理,助教"
inn,"n.小旅店,小酒店"
instead,"adv.作为替代;却,反而"
controversy,"n.争论,辩论"
command,"vt.命令,指挥,控制"
newsstand,"n.报摊,杂志摊"
worthless,"adj.无价值的,无用的"
performance,"n.演出;执行,完成;工作情况,表现;工作性能"
dessert,"n.甜食,点心"
ambassador,"n.大使,使节,派驻国际组织的代表"
anticipate,"vt.预料,预期,期望;先于…行动;提前使用"
variable,"adj.易变的;n.变量"
temple,"n.圣堂,神殿,庙宇"
growth,"n.增长,增长量;生长,生长物"
landscape,"n.风景,景色;风景画;全景;vt.美化…的景观"
weave,"v.织,编"
carrot,"n.胡萝卜"
normally,"adv.通常;正常地"
exception,"n.例外,除外"
vague,"adj.模糊的,含糊的"
temporary,"adj.暂时的,临时的"
fare,"vi.进展;n.车费,船费,票价"
desperate,"adj.拼死的,不顾一切的;绝望的;极需要的"
leading,"adj.指导的,带头的;最主要的;饰演主角的"
awful,"adj.令人不愉快的,难过的;非常的,极大的"
accuracy,"n.准确,精确"
handy,"adj.手边的,便于使用的"
urge,"vt.鼓励;推进,催促;竭力主张,强烈要求;n.冲动,强烈的欲望"
resolution,"n.正式决定,决议;决心,决意;解决,解答;分辨率,清晰度"
via,"prep.经过,通过"
setting,"n.环境,背景,布景;调节,设定的位置"
score,"v.得,给…打分;画线于,做记号于;赢得;n.得分,比数,成绩;二十"
quote,"vt.引用,援引;n.引文,引语;报价,牌价;引号"
graduate,"adj.研究生的;v.毕业;n.毕业生;研究生"
famine,"n.饥荒;严重的缺乏"
gramme,"n.gram的英式拼法"
absent,"adj.缺席的,不在场的;缺乏的,不存在的;心不在焉的"
rag,"n.破布,碎布;破旧衣服"
visual,"adj.看得见的;n.视觉资料"
understanding,"adj.体谅的,宽容的,通情达理的;n.理解,理解力;谅解;协议;相互理解,融洽"
empire,"n.帝国"
educate,"vt.教育,培养,训练"
fairy,"n.小精灵,小仙子"
ashamed,"adj.惭愧的,羞耻的,害臊的"
instruct,"vt.指示,命令;通知;教授,训练"
rat,"n.鼠"
mayor,"n.市长"
virtually,"adv.实际上,事实上"
fairly,"adv.相当,尚可,还;公平地"
handwriting,"n.笔迹,手迹;书法"
merchant,"n.商人"
raw,"adj.自然状态的,未加工过的;生的;未经分析的,原始的;生疏无知的,未经训练的;露肉而刺痛的"
proportional,"adj.比例的,成比例的"
economy,"n.经济;节约,节省"
community,"n.社区,社会,公社;团体,界;群落"
packet,"n.小包,小盒"
version,"n.译本;说法;改写本"
airport,"n.机场,航空港"
courtyard,"n.庭院,院子"
nationality,"n.国籍;民族"
selection,"n.选择,挑选;被挑选出来的人,精选品;可供选择的东西"
institute,"n.研究所,学院;vt.建立,设立"
aboard,"adv&prep.在船上,上船"
endure,"v.忍受,容忍;持久,持续"
detail,"n.细节,枝节;零件;vt.详细说明"
shortly,"adv.立刻,不久;不耐烦地;简短地"
hobby,"n.业余爱好,癖好"
appropriate,"adj.适当的,恰当的"
providing,"conj.倘若"
fate,"n.命运,天数"
throat,"n.咽喉,喉咙;嗓音"
utility,"n.效用,有用,实用;公用事业"
immediately,"adv.立即,马上;直接地,紧接地"
manual,"adj.用手的;手工做的;n.手册,指南"
measurement,"n.衡量,测量;尺寸,大小"
optimistic,"adj.乐观的,乐观主义的"
vocabulary,"n.词汇表,词汇,语汇"
retire,"vi.退休,退役;退下,退出,撤退;就寝"
aspect,"n.方面;朝向,方向;样子,外表"
particle,"n.粒子,微粒;小品词,语助词"
aggressive,"adj.侵略的,好斗的;敢做敢为的;有进取心的"
behavior,"n.行为,举止,表现"
musician,"n.音乐家,乐师"
minimize,"vt.将…减少;最小化"
descend,"vi.下来,下降;下倾"
saint,"n.圣徒;圣人,道德高尚的人;[用于人名或地名等前]圣"
density,"n.密集,稠密;密度"
logical,"adj.逻辑的,合乎常理的"
oblige,"vt.迫使;施恩于,帮…的忙;使感激"
slam,"v.砰地关上;猛力拉,砰地放下;猛烈抨击;n.砰的一声"
characterize,"vt.成为…的特征,以…为特征;描绘的特性,描述"
swing,"v.摇摆,回转;突然转向;n.摇摆;秋千"
ridiculous,"adj.荒谬的,可笑的"
handbag,"n.手提包"
invasion,"n.入侵,侵略,侵犯"
spin,"v.旋转;晕眩;纺,织;绞干,甩干;n.旋转,自转"
severe,"adj.严重的;严厉的,严格的;严峻的,艰难的;朴素的,不加装饰的"
emerge,"vi.出现,涌现,冒出"
shallow,"adj.浅的;浅薄的;n.浅滩,浅水处"
lease,"n.租约,租契;vt.出租;租得,租有"
exploit,"vt.剥削;利用;开拓;n.业绩,功绩"
slap,"vt.掴,掌击,拍;啪的一声放;n.掴,掌击,拍"
spit,"v.吐唾沫,吐出;n.唾沫,唾液"
scout,"v.侦察,寻找;n.侦察员,侦察机,侦察舰;童子军"
anniversary,"n.周年纪念日"
register,"v.登记,注册;指示,自动记下;流露;表示,表达;把挂号;n.登记;登记表"
restless,"adj.焦躁不安的;静不下来的,运动不止的"
persuasive,"adj.劝诱的;有说服力的"
fleet,"n.舰队,船队"
communicate,"v.通讯;交际,交流;连接,相通;传达,传播;传染"
evidence,"n.根据,证据;证人"
saddle,"n.鞍,鞍状物;车座;vt.给…装鞍;使承担任务"
rural,"adj.农村的,乡村的"
official,"adj.官员的;官方的,正式的;n.官员,行政人员,高级人员"
historical,"adj.历史的,有关历史的"
repetition,"n.重复,反复"
fortunately,"adv.幸运地;幸亏"
acid,"adj.酸的,酸性的;n.酸"
transmission,"n.传播,发射;传送,传递;传染"
shortage,"n.不足,缺少"
discrimination,"n.区别,辨别;识别力;差别对待,歧视"
female,"adj.雌的;女的;n.雌性动物;女子"
microphone,"n.扩音器,话筒,麦克风"
swift,"adj.快的;反应快的;敏捷的"
surrender,"n&v.交出,放弃;投降"
faint,"adj.不清楚的,模糊的;v.晕倒,昏厥;n.昏厥"
world-wide,"adj.遍及全球的"
minister,"n.部长,大臣;公使,外交使节;牧师"
pose,"vi.摆姿势;假装,装腔作势;vt.使摆好姿势;造成,引起;提出,陈述;n.样子,姿势"
remedy,"n.补救办法,纠正办法;药品;治疗法;vt.补救,纠正;医治,治疗"
jail,"n.监狱,看守所;vt.监禁,拘留;塞满;卡住;干扰"
consent,"vi.同意;n.同意,赞成"
insist,"v.坚持,坚决认为;坚持要求"
typewriter,"n.打字机"
helpless,"adj.无助的;无能的;无法抗拒的"
respect,"n.尊敬;尊重;问候;方面;vt.尊敬;尊重"
volume,"n.卷,册,书卷;容积,体积;音量,响度"
retreat,"n&vi.退却,撤退;退避,退缩"
ache,"vi.疼痛;渴望;n.疼痛"
mutual,"adj.相互的;共同的"
shell,"n.壳,贝壳;外壳,框架;炮弹;vt.剥…的壳;炮击"
guideline,"n.指导方针,准则"
loose,"adj.松的;不精确的,不严密的;散漫的"
therefore,"adv.因此,所以"
exchange,"n&v.交换;交流;兑换"
hesitate,"vi.犹豫,踌躇;含糊;不情愿"
rifle,"n.来复枪,步枪"
private,"adj.私人的;秘密的;私下的;私营的;n.士兵,列兵"
baggage,"n.行李"
companion,"n.同伴,共事者;伴侣"
breakdown,"n.垮,衰竭;损坏,故障;倒塌"
paste,"n.糊,糨糊;vt.粘,贴"
overtake,"vt.追上,超过;突然降临于,意外地碰上"
jeans,"n.工装裤,牛仔裤"
overnight,"adv.整夜,通宵;一夜间,突然;adj.一整夜的;一夜间的,突然的"
behave,"v.表现,举止;运转,作出反应"
stretch,"v.伸展,延续;伸长,拉长;倾注全力;紧张;n.一段时间,一段路程,连绵的一片;伸展,延伸"
undo,"vt.解开,打开;取消,撤销"
accomplish,"vt.达到;完成"
laser,"n.激光"
mixture,"n.混合,混合物"
engine,"n.引擎,发动机;机车"
responsible,"adj.需负责任的,承担责任的;有责任感的,负责可靠的;责任重大的,重要的"
scope,"n.范围;余地,机会"
democratic,"adj.民主的,民主政体的"
medal,"n.奖牌,奖章,勋章"
satellite,"n.卫星,人造卫星"
bullet,"n.枪弹,子弹,弹丸"
recorder,"n.录音机,录像机;记录装置,记录仪"
identify,"vi.一致;vt.认出,鉴定;把…等同于"
embrace,"n.拥抱,怀抱;vt.拥抱;包括;包围"
nitrogen,"n.氮"
pour,"v.灌,倒;倾泻"
label,"n.标签;标记,符号;vt.贴标签于;把…称为"
improvement,"n.改进,改善;改进处"
slippery,"adj.滑的;狡猾的"
scissors,"n.剪刀"
significance,"n.意义,含义;重要性,重大"
modify,"vt.更改,修改;修饰"
horizon,"n.地平线;眼界,见识"
environment,"n.环境,外界;围绕"
airplane,"n.飞机"
pledge,"n.保证,誓言;vt.保证,许诺"
progressive,"adj.前进的;渐进的;进行式的"
reservoir,"n.水库,蓄水池;储藏,汇集"
deliberate,"adj.故意的,蓄意的;慎重的,深思熟虑的;v.仔细考虑,思考"
swear,"v.宣誓;咒骂"
atmosphere,"n.大气,空气;气氛,环境"
decorate,"vt.装饰,装潢,修饰"
copyright,"n.版权"
biotechnology,"n.生物工艺学"
career,"n.生涯,职业,经历"
occupation,"n.占领,占据;职业;从事的活动,消遣"
tendency,"n.趋向,趋势,倾向"
release,"vt.释放,排放;解除,解脱;放开,松开;发布;发行"
charter,"adj.包租的,租用的;n.宪章,共同纲领;特许状,许可证;包租;vt.包,租"
slim,"adj.苗条的;薄的;少的;v.减轻体重,变苗条"
arithmetic,"n.算术,四则运算"
rib,"n.肋骨"
faulty,"adj.有错误的,有缺点的"
liberate,"vt.解放,释放"
rid,"vt.使摆脱,解除…的负担,从…中清除"
variation,"n.变化,变动;变异;变奏"
moral,"adj.道德的,有道德的;n.品行;道德规范;寓意"
defect,"v.变节,叛变;n.缺点,缺陷,欠缺"
reinforce,"vt.增强,加强,增援"
explode,"vi.爆炸;激增;发怒;vt.使爆炸"
casual,"adj.偶然的;非正式的;临时的,不定期的;漠不关心的,冷淡的"
decline,"v.下降,减少;衰退,衰落;谢绝,拒绝;n.下降,减少;衰退"
property,"n.财产,所有物;房产;物业;性质,性能"
succeeding,"adj.以后的,随后的"
brave,"adj.勇敢的;华丽的"
similar,"adj.相似的,类似的"
viewpoint,"n.观点,看法,见解"
anyhow,"adv.无论如何,不管怎么说;随随便便地,杂乱无章地"
specify,"vt.指定;详细说明"
whistle,"v.吹口哨,鸣笛声;呼啸而过;n.口哨;呼啸而过"
handle,"n.柄,把手;vt.拿,触;操作,处理"
forth,"adv.向前;向外,往外"
tough,"adj.困难的,难对付的;坚强的,能吃苦耐劳的;健壮的;坚硬的,严格的;老的,硬的;粗暴的,充满暴力的"
crossing,"n.人行横道,交叉口;横渡"
script,"n.剧本,广播稿;书写用的字母;笔迹,手迹"
submerge,"v.淹没,潜入水中"
system,"n.系统;制度,体制;方法,做法;身体"
compose,"vt.组成,构成;创作,为…谱曲;使平静,使镇静"
spot,"n.点,斑点;地点,处所;少量;vt.认出,发现;玷污"
roller,"n.滚筒,滚轴"
partial,"adj.部分的;不公平的;偏爱的,偏袒的"
aid,"n.帮助;救护;助手;辅助手段"
tone,"n.腔调,语气;音调;风格,气度;色调,明暗"
confident,"adj.确信的,肯定的;自信的"
retain,"vt.保留,保持"
swell,"vi.膨胀,隆起;增长,增强,增多,扩大;n.波浪起伏;鼓起,隆起;增强"
skilled,"adj.有技能的;熟练的;需要技能的"
local,"adj.地方性的;本地的;局部的;狭隘的"
remind,"vt.提醒,使想起"
crude,"adj.简陋的,天然的;粗鲁的,粗俗的"
manufacturer,"n.制造商;制造厂"
crew,"n.全体船员;一队工作人员"
valid,"adj.有效的;正当的;有根据的,有理的"
withstand,"vt.抵挡,反抗"
defeat,"n&vt.战胜,挫败"
vacuum,"v.用吸尘器清扫;n.真空;真空吸尘器"
encourage,"vt.鼓励,怂恿;促进,助长,激发"
bubble,"vi.冒泡;沸腾;n.泡"
era,"n.时代,年代,纪元"
yield,"v.出产;让出,放弃;屈服,顺从;倒塌,垮掉;n.产量"
electronic,"adj.电子的;n.电子学;电子设备"
vacation,"n.假期,休假"
outcome,"n.结果"
elegant,"adj.优美的,文雅的,讲究的;简练的,简洁的"
tender,"adj.嫩的;脆弱的;疼痛的,一触即痛的;温柔的;vt.提出;n.投标"
curriculum,"n.课程,全部课程"
meantime,"n.其间,同时"
powerful,"adj.强大的,有力的,有权的;强壮的,强健的"
slip,"v.滑跤,滑落,溜;下降,跌落;悄悄放进;n.疏漏,差错"
species,"n.种,类"
anchor,"v.抛锚,停泊;把…系住,使固定;担任主持人;固定,扎根;n.锚;给人安全感的物"
preceding,"adj.在前的,在先的,前面的"
cite,"vt.引用,引证;传唤,传讯;表彰,嘉奖"
logic,"n.逻辑,推理,逻辑学"
acquaintance,"n.认识,了解;熟人"
royal,"adj.王室的,皇家的"
internship,"n.实习生身份;实习医师期"
shed,"vt.脱落,脱去;流出,流下;发出,散发;n.棚,小屋,货棚"
eyesight,"n.视力,目力"
precision,"n.精确,精密"
glove,"n.手套"
screen,"n.屏幕,银幕;屏风;帘,纱窗;vt.掩蔽,遮蔽;放映,播放;审查,甄别"
naked,"adj.裸体的;无遮蔽的"
trial,"n.试,试验;审判;讨厌的人"
correspond,"vi.相符合,相当;通信"
spur,"n.刺激物;vt.刺激,鞭策,激励"
perception,"n.感知,觉察;认识,观念,看法"
rear,"adj.后部的,背后的;n.后部,背面;后方;vt.抚养,饲养;种植"
amongst,"prep.在…之中"
undertake,"vt.从事;承担;同意;保证"
insect,"n.昆虫,虫"
bureau,"n.局,司,处,社,所"
moist,"adj.湿润的,潮湿的"
cable,"n.缆,索,电缆;电报"
qualify,"v.胜任,具有资格,合格;限定"
intense,"adj.强烈的;紧张的;认真的;热情的"
pregnant,"adj.怀孕的,妊娠的"
border,"n.边,边缘,边界;vt.给…加上边,围;邻接;与…接壤"
estate,"n.土地,住宅区,地产;财产,遗产;庄园,种植园"
applicable,"adj.能应用的;合适的,适当的"
admission,"n.允许进入;承认;入场费,入场券"
brass,"n.黄铜,黄铜器,铜管乐器"
expense,"n.花费,消费;费用,开支;业务费用"
rumour,"n.谣传,谣言"
contemporary,"adj.当代的;同时代的;n.同代人,当代人"
gear,"n.齿轮,传动装置,排挡;用具,设备;衣服;vt.使适应,使适合"
boundary,"n.分界线,边界"
rob,"vt.抢劫,盗窃"
elderly,"adj.较老的,年长的;n.到了晚年的人,老年人"
financial,"adj.财政的,金融的"
rod,"n.杆,棒"
dumb,"adj.哑的;无言的;说不出话的"
respective,"adj.各自的,各个的,分别的"
media,"n.新闻媒介,传播媒介"
favour,"n.好感;赞同;恩惠;vt.赞同;喜爱,偏爱;有利于"
pollute,"vt.弄脏,污染;腐蚀"
harden,"v.变硬;变得坚强"
eve,"n.前夜,前夕,前一刻"
